name       , type   , strDefault, attributes              , upgrades, docOrder, description
address    , address,           , sorts|width=340|readOnly,         ,        1, the address of this monitor
name       , string ,           , sorts|width=200         ,         ,        2, the name of this monitor (if any)
nRecords   , int64  ,           , sorts                   ,         ,        3, the number of appearances for this monitor
fileSize   , int64  ,           , sorts                   ,         ,        4, the size of this monitor on disc
isEmpty    , bool   ,           , sorts                   ,         ,        5, true if the monitor has no appearances
lastScanned, uint32 ,           , sorts                   ,         ,        6, the last scanned block number
deleted    , bool   ,           , sorts|noui              ,         ,        7, if this monitor has been deleted&#44; `false` otherwise
isStaged   , bool   ,           , sorts|noui              ,         ,        8, if the monitor file in on the stage&#44; `false` otherwise
