field,label,type,required,description
activeAddress,Active Address,string,true,Current active address in project
series,Series,string,true,Selected series
prompt,Prompt,string,false,Generated prompt
imagePath,Image Path,string,false,Path to generated image
createdAt,Created At,datetime,false,Generation timestamp
